date,item_nbr,unit_sales,price
2020-01-01,0,121,4.132231404958677
2020-01-02,0,121,4.132231404958677
2020-01-03,0,121,4.132231404958677
2020-01-04,0,121,4.132231404958677
2020-01-05,0,121,4.132231404958677
2020-01-06,0,76,6.578947368421052
2020-01-07,0,76,6.578947368421052
2020-01-08,0,76,6.578947368421052
2020-01-09,0,76,6.578947368421052
2020-01-10,0,76,6.578947368421052
2020-01-11,0,76,6.578947368421052
2020-01-12,0,76,6.578947368421052
2020-01-13,0,76,6.578947368421052
2020-01-14,0,110,4.545454545454546
2020-01-15,0,110,4.545454545454546
2020-01-16,0,110,4.545454545454546
2020-01-17,0,110,4.545454545454546
2020-01-18,0,110,4.545454545454546
2020-01-19,0,110,4.545454545454546
2020-01-20,0,110,4.545454545454546
2020-01-21,0,110,4.545454545454546
2020-01-22,0,90,5.555555555555555
2020-01-23,0,90,5.555555555555555
2020-01-24,0,90,5.555555555555555
2020-01-25,0,90,5.555555555555555
2020-01-26,0,90,5.555555555555555
2020-01-27,0,90,5.555555555555555
2020-01-28,0,90,5.555555555555555
2020-01-29,0,90,5.555555555555555
2020-01-30,0,54,9.25925925925926
2020-01-31,0,54,9.25925925925926
2020-02-01,0,54,9.25925925925926
2020-02-02,0,54,9.25925925925926
2020-02-03,0,54,9.25925925925926
2020-02-04,0,54,9.25925925925926
2020-02-05,0,54,9.25925925925926
2020-02-06,0,54,9.25925925925926
2020-02-07,0,54,9.25925925925926
2020-02-08,0,54,9.25925925925926
2020-02-09,0,75,6.666666666666667
2020-02-10,0,75,6.666666666666667
2020-02-11,0,75,6.666666666666667
2020-02-12,0,75,6.666666666666667
2020-02-13,0,145,3.4482758620689653
2020-02-14,0,145,3.4482758620689653
2020-02-15,0,145,3.4482758620689653
2020-02-16,0,145,3.4482758620689653
2020-02-17,0,145,3.4482758620689653
2020-02-18,0,111,4.504504504504505
2020-02-19,0,111,4.504504504504505
2020-02-20,0,111,4.504504504504505
2020-02-21,0,111,4.504504504504505
2020-02-22,0,111,4.504504504504505
2020-02-23,0,111,4.504504504504505
2020-02-24,0,111,4.504504504504505
2020-02-25,0,111,4.504504504504505
2020-02-26,0,111,4.504504504504505
2020-02-27,0,119,4.201680672268908
2020-02-28,0,119,4.201680672268908
2020-02-29,0,119,4.201680672268908
2020-03-01,0,119,4.201680672268908
2020-03-02,0,119,4.201680672268908
2020-03-03,0,119,4.201680672268908
2020-03-04,0,119,4.201680672268908
2020-03-05,0,108,4.62962962962963
2020-03-06,0,108,4.62962962962963
2020-03-07,0,108,4.62962962962963
2020-03-08,0,108,4.62962962962963
2020-03-09,0,108,4.62962962962963
2020-03-10,0,108,4.62962962962963
2020-03-11,0,108,4.62962962962963
2020-03-12,0,108,4.62962962962963
2020-03-13,0,63,7.936507936507937
2020-03-14,0,63,7.936507936507937
2020-03-15,0,63,7.936507936507937
2020-03-16,0,63,7.936507936507937
2020-03-17,0,63,7.936507936507937
2020-03-18,0,63,7.936507936507937
2020-03-19,0,63,7.936507936507937
2020-03-20,0,63,7.936507936507937
2020-03-21,0,63,7.936507936507937
2020-03-22,0,52,9.615384615384615
2020-03-23,0,52,9.615384615384615
2020-03-24,0,52,9.615384615384615
2020-03-25,0,52,9.615384615384615
2020-03-26,0,52,9.615384615384615
2020-03-27,0,52,9.615384615384615
2020-03-28,0,69,7.246376811594203
2020-03-29,0,69,7.246376811594203
2020-03-30,0,69,7.246376811594203
2020-03-31,0,69,7.246376811594203
2020-04-01,0,69,7.246376811594203
2020-04-02,0,69,7.246376811594203
2020-04-03,0,69,7.246376811594203
2020-04-04,0,69,7.246376811594203
2020-04-05,0,69,7.246376811594203
2020-04-06,0,142,3.5211267605633805
2020-04-07,0,142,3.5211267605633805
2020-04-08,0,142,3.5211267605633805
2020-04-09,0,142,3.5211267605633805
2020-04-10,0,118,4.237288135593221
2020-04-11,0,118,4.237288135593221
2020-04-12,0,118,4.237288135593221
2020-04-13,0,118,4.237288135593221
2020-04-14,0,118,4.237288135593221
